State,FirstDose,SecondDose,MaleVaccinated,FemaleVaccinated
GJ,79324,67803,28392,47443
DL,25451,9403,36841,47382
DL,41700,6577,39782,16157
TN,41971,61716,7427,4745
TN,23684,35857,38155,14927
MH,48400,70035,33714,29253
KA,80049,21443,6698,26586
MH,16106,43199,16224,19839
TN,68022,64991,8645,21169
MH,15907,44947,30205,868
RJ,61404,15967,48225,31185
RJ,91890,74330,42966,44993
RJ,82284,18664,33748,36999
GJ,96945,40919,16733,17133
DL,96359,65714,18490,34299
DL,82515,12295,46571,1837
MP,87269,69433,45007,1156
MH,62704,72869,24727,49466
RJ,90381,2740,48327,35484
KA,23754,5087,12698,37554
MP,45012,20341,15449,32438
TN,32478,53542,20309,43006
DL,41038,69801,34197,8989
MH,60227,11310,41591,41374
MP,28376,29122,38218,39836
TN,87458,37224,41817,44433
MP,49058,53421,7790,44606
MP,82841,51334,21670,10046
DL,42205,67834,24981,15507
RJ,85243,671,29687,12357
MP,66315,43237,41793,21999
MH,39218,38292,14230,7511
TN,71961,89199,25923,10648
KA,91770,47372,3487,47064
MH,80320,55164,13269,28209
MH,91929,25334,19986,9161
MH,83910,16358,16797,34191
DL,85237,33296,45456,16141
KA,79259,42732,28927,1706
RJ,39288,81826,20109,37333
KA,1104,68895,26852,26862
MP,36901,57685,18160,48995
RJ,14585,45416,2032,12221
MH,93870,68097,31113,47487
RJ,94720,23573,17880,6820
MP,3626,14590,13996,42064
MH,83123,49521,23917,29956
KA,49174,68929,1952,38326
TN,13456,59239,39094,18108
MH,68281,67858,2644,20591
KA,14479,49716,14928,48292
DL,11751,88927,30808,13186
KA,5459,63163,48364,1845
TN,45314,88887,27710,40098
MH,75516,9330,47959,5843
RJ,96161,12627,38577,9482
KA,83996,43900,4063,11745
GJ,30523,61239,39371,45748
MH,92583,30603,21913,6812
MH,35164,10248,9395,24812
GJ,14959,29882,5777,30707
MH,69127,88802,16213,14800
DL,56492,54072,3607,35475
DL,31875,38558,8414,46640
TN,22656,34416,2756,26482
RJ,67184,42723,15893,39696
MP,91668,39570,5239,20080
TN,89885,57640,39763,22508
KA,6850,79851,12001,6317
KA,41091,67767,46680,11847
DL,84916,990,28092,6631
MH,13015,55317,12108,36436
RJ,63984,43506,32781,47903
RJ,8661,66321,22297,9195
GJ,76200,50871,22718,16440
RJ,37847,47603,18132,12262
DL,54969,23131,12403,7365
TN,6836,58274,3251,19418
TN,23032,3807,26825,22542
TN,78560,29569,46556,11718
RJ,70963,48020,13377,48456
RJ,32311,23060,4190,28451
GJ,27163,67302,28153,21435
TN,60246,85866,47881,20182
TN,22212,3389,1692,45968
KA,79908,22361,29199,35988
MH,12794,77664,18475,42981
RJ,55425,81029,44576,49114
MH,97808,6935,13531,36940
GJ,79745,68461,34468,18018
TN,56044,49431,41827,33467
KA,43890,65686,38191,25533
MP,61502,66489,41989,40737
MH,98490,56584,9044,25237
GJ,43659,4346,18412,30290
KA,47832,87420,37076,15835
TN,71533,82164,18687,30646
GJ,25890,79153,18334,24940
RJ,74315,21051,21690,12426
MP,94615,52078,17685,46295
MP,77264,3322,20007,18958
KA,12367,77753,49465,14904
MH,15731,42129,49733,22505
DL,45040,65571,8618,24483
MH,6146,88631,7872,14973
DL,12368,64123,541,42042
MP,1095,53292,6547,18833
MP,19394,70225,1244,2037
MP,34330,45768,24478,20554
GJ,2253,15494,10578,526
KA,57339,63370,27770,8529
KA,27566,67529,16692,48004
MP,34715,6178,49656,29070
MP,99597,80534,21624,17184
KA,69235,17907,9267,17166
TN,4407,47044,8116,23106
MH,96148,62849,37351,19788
DL,49437,76847,47063,44156
TN,58476,513,5962,37329
MP,14795,75669,39378,36203
GJ,35705,51777,38154,10031
GJ,91604,64941,35403,46655
RJ,87553,85067,14117,23202
RJ,61794,76489,44302,41910
TN,29236,18511,47722,31630
MP,43752,77793,14636,34345
