LotArea,OverallQual,YearBuilt,TotalBsmtSF,SalePrice
2099,8,1941,1175,128165
3556,2,1982,1027,214764
6830,2,2015,2758,202507
12048,6,2006,2612,318513
14196,1,1970,1748,71593
2477,7,1938,845,247066
1442,5,1934,1860,133457
11624,5,2013,2919,406858
2025,5,1974,2090,123109
15036,8,2003,2527,100601
18101,3,1940,1755,276317
10818,2,1940,2845,209411
14424,5,1927,2242,471186
14461,9,1994,268,166946
6096,5,1936,1425,415780
19281,5,1998,1143,68055
17410,8,1959,2194,388728
10965,1,1989,2978,189576
9760,8,1927,675,402597
9250,9,1956,1496,490357
16199,6,1958,1962,350462
7364,3,1931,1349,333859
11522,7,1948,1252,256298
7417,6,2007,484,289287
7852,7,1903,2873,295248
12998,6,1964,2849,493784
18756,4,1937,1357,221004
9008,4,2019,1802,237093
8963,1,1939,1643,229579
11246,4,1912,915,332863
1903,5,1984,2837,165365
3741,2,1975,2219,497427
13151,1,1976,2944,148990
14816,4,2014,1702,460344
11266,4,1991,2277,328953
4707,5,1947,2339,315279
17165,7,1957,2241,219017
18501,6,1921,649,304967
16892,8,2008,1541,450996
7584,2,1912,688,89463
3688,6,2011,1199,87569
17787,8,1917,2671,354563
15791,7,1939,305,439485
4486,7,1931,2935,137749
4621,7,2011,2357,255754
2918,2,1929,2152,148139
5073,9,1955,577,287919
13933,5,1965,460,362232
13347,3,1937,1662,113561
9144,1,1900,2632,265733
1966,3,1923,467,180936
4275,9,1913,379,85335
10873,4,1908,811,58547
1757,8,1984,1164,206357
19610,3,1953,2745,124524
18994,2,1982,932,466634
15630,5,1980,1112,429733
7724,5,1913,1084,382555
11619,5,1908,1294,87379
13839,3,1906,2343,330850
5223,5,1927,1226,219891
12471,9,1937,708,435070
17397,8,1935,2408,64697
9678,9,1940,2473,65505
1359,6,1926,1646,337855
15134,2,1994,2828,105451
6202,9,1976,2086,255878
7306,9,1957,1219,236991
1080,7,1945,2583,456217
1540,1,1980,1351,68835
15729,1,1958,477,177175
13433,3,1923,1595,336279
4422,4,2014,1326,209589
12387,3,2006,2002,78075
1101,2,1972,472,301902
6819,6,2019,2250,132860
10402,7,2018,2038,420286
4346,2,1980,901,314866
7668,9,2017,2422,144881
3945,8,1918,1334,342938
14595,8,1974,2536,447687
11179,4,1915,431,487061
11173,5,2002,2143,458028
1784,7,1988,585,436862
4846,7,2000,464,124656
2851,5,2011,1783,493815
13799,2,1964,1224,300270
7564,3,1903,363,69679
15764,1,1990,1414,281279
4797,1,1920,2103,258769
19166,8,2011,1886,340720
2962,7,1947,2919,390862
9973,3,1962,2085,149432
12177,9,1997,2507,189967
17712,9,1924,459,300999
10566,3,1982,1578,483453
9802,2,1940,1340,216071
19307,3,1909,364,128958
8696,8,1972,2674,139974
3309,7,1971,566,422032
10655,7,1992,1244,476853
16261,3,2011,1457,53541
19101,2,1941,2381,270822
19967,6,1919,2976,174933
9443,7,1986,1223,434877
4962,4,1967,894,149363
10124,5,2019,941,186045
13475,3,1978,1375,418419
12298,2,2019,870,113100
8110,7,1966,1441,366008
1344,1,1987,2127,258475
6137,3,2007,852,189003
10776,7,1924,440,404441
16360,4,1984,1123,361595
4530,8,1935,404,420307
7769,6,1946,914,86747
8172,3,1932,627,338214
2663,7,1934,438,339386
5893,7,1942,243,74708
2264,2,1992,1998,436717
2549,1,1937,911,66700
5371,2,2000,2760,482556
17425,4,1982,763,454446
8596,4,1955,874,100245
15387,2,2006,1672,420223
11994,4,1935,1935,124956
5005,5,2003,986,297441
10742,4,1999,1000,84895
18060,6,1965,202,77320
16474,7,1993,1800,358777
14444,9,1920,1094,431848
9178,6,2001,964,425509
1303,6,1999,1995,385464
11112,9,1946,1094,256339
13081,5,1998,2210,152076
13747,6,1991,331,426622
17878,1,1962,1454,494784
19186,4,1962,2702,411631
4589,2,2013,2652,357654
8063,7,1978,1026,320131
8334,9,2006,2250,148401
8152,7,1930,1181,192511
11514,4,1991,375,421979
7238,5,1951,1735,264887
15111,6,1904,310,256142
8445,9,1968,1818,57816
6089,3,1906,454,352211
2354,4,2005,1816,318395
11348,3,1941,2561,342662
17979,2,1903,1513,159287
5243,2,1939,269,402425
12423,9,2008,1303,465030
3855,7,2000,693,70761
1609,4,1927,1504,299709
13204,3,1913,556,421078
11484,3,1944,2948,328599
13012,5,1900,1089,414264
17822,8,1974,1669,104621
12998,3,1993,1301,321102
15823,5,1978,1748,103189
7334,5,1900,910,452982
7348,2,1900,1337,314131
14200,6,1996,2809,378967
1080,4,2016,331,99522
3558,8,1911,1128,475899
10350,5,1929,1913,186087
16316,3,1905,2645,53288
10886,1,1969,275,201538
13876,3,1957,268,112237
11107,3,1930,2551,399491
5789,7,1918,530,361185
1602,9,2006,2670,420360
6522,2,1916,2876,141435
9824,2,2019,1070,57073
6250,2,1981,2680,409216
7382,1,1975,1772,60958
13569,2,1909,1701,282298
3341,8,1909,993,144634
4477,1,1990,747,123424
1107,7,1976,1160,119871
9696,6,1964,2056,97093
5933,9,2003,1232,421841
6113,6,1928,1147,82106
6145,7,2018,282,293136
17652,9,1977,2624,241219
16924,2,1987,1753,305359
9957,5,1958,247,173960
1073,6,1948,1779,104415
12146,1,1927,1995,312480
7728,6,2007,500,357400
5570,7,1925,2323,398521
2375,2,1984,2553,289252
9030,2,2011,1274,358925
5862,4,1976,1395,458374
4301,2,1924,919,346363
3342,7,1905,1187,316649
18584,1,1934,774,82896
19108,8,1976,2586,383947
17902,7,1959,1597,412919
14254,5,1943,2667,378066
