sepal_length,sepal_width,petal_length,petal_width,species
6.79,2.2,5.64,2.06,versicolor
5.47,3.87,4.26,2.33,versicolor
6.12,3.03,3.52,1.24,versicolor
6.17,3.47,3.79,1.83,versicolor
6.86,2.07,2.59,0.84,versicolor
6.07,4.38,4.07,0.27,virginica
4.53,4.19,3.1,0.98,setosa
7.09,3.56,2.0,1.77,versicolor
5.63,2.04,4.28,0.76,versicolor
7.85,2.94,2.87,2.17,versicolor
5.13,4.45,4.93,2.0,virginica
5.05,3.7,3.08,0.57,setosa
5.33,2.4,3.54,0.89,versicolor
6.29,3.15,4.94,2.08,versicolor
7.58,4.42,3.24,0.69,virginica
4.71,3.34,5.83,0.9,versicolor
5.12,2.06,4.97,0.92,setosa
6.33,3.55,5.13,2.02,setosa
5.82,2.68,5.77,0.19,versicolor
5.79,2.25,2.94,0.28,virginica
7.28,3.01,3.9,1.49,setosa
7.7,3.4,4.47,1.05,virginica
5.93,2.04,4.37,1.62,setosa
6.75,3.4,5.76,0.74,setosa
7.2,3.28,2.44,2.28,versicolor
6.07,3.98,2.46,1.93,setosa
5.18,3.06,5.59,0.26,versicolor
6.55,3.38,5.0,1.98,setosa
6.34,3.86,2.02,2.43,setosa
7.61,4.24,3.85,2.36,setosa
4.21,2.95,4.73,1.87,versicolor
7.64,3.5,2.77,0.4,setosa
6.14,3.74,3.17,1.48,setosa
4.06,2.11,3.88,0.78,virginica
5.38,4.0,3.34,2.43,virginica
6.9,2.94,4.77,1.82,setosa
5.95,3.68,1.03,1.57,versicolor
7.92,3.18,3.17,1.77,virginica
5.69,3.76,2.69,1.15,versicolor
5.31,3.81,4.05,0.99,setosa
7.29,2.48,4.88,2.35,virginica
6.19,3.66,1.38,0.9,versicolor
6.73,4.13,1.79,0.2,versicolor
7.22,2.59,4.33,1.06,virginica
6.69,3.9,4.69,2.0,setosa
5.69,3.58,3.94,1.66,setosa
4.5,4.39,5.91,2.41,virginica
6.32,2.65,3.5,0.35,versicolor
7.59,2.39,1.68,2.29,virginica
5.68,2.78,4.43,0.99,virginica
7.64,2.64,4.01,1.24,virginica
6.01,3.89,3.95,1.13,setosa
6.48,3.83,3.73,0.38,setosa
7.33,3.67,5.7,0.69,versicolor
6.26,2.54,1.65,1.88,virginica
4.36,4.15,1.37,0.16,virginica
7.92,4.39,1.77,0.42,virginica
4.98,3.33,2.22,0.16,virginica
6.84,3.62,3.96,2.16,setosa
6.02,3.25,4.06,1.58,setosa
5.92,2.71,2.16,0.51,versicolor
4.98,2.72,3.45,1.95,versicolor
6.89,2.78,3.41,2.42,virginica
4.45,2.48,3.27,2.34,versicolor
7.96,4.25,5.02,2.31,virginica
7.38,4.15,3.36,0.12,setosa
6.14,3.15,4.79,1.51,setosa
5.7,2.92,1.83,0.72,setosa
5.15,4.35,3.66,1.46,versicolor
6.01,2.56,5.12,0.86,virginica
7.52,3.38,1.89,0.47,versicolor
5.1,2.14,3.32,1.17,virginica
6.0,2.48,4.05,1.29,versicolor
4.94,3.51,1.92,2.48,setosa
5.35,3.66,4.78,0.2,versicolor
4.76,3.45,1.39,0.82,setosa
7.96,4.17,5.73,2.14,virginica
6.29,4.48,3.34,1.68,setosa
6.93,3.91,2.68,2.08,versicolor
4.39,3.16,1.58,1.68,virginica
5.46,4.08,3.16,1.92,versicolor
7.57,2.3,4.3,1.28,versicolor
4.34,3.71,1.47,0.59,versicolor
4.66,3.3,2.53,2.04,setosa
6.5,2.45,5.18,1.46,virginica
6.49,4.43,4.23,0.43,versicolor
7.35,2.85,2.03,2.03,setosa
7.74,3.54,1.8,2.4,versicolor
4.57,4.2,5.52,0.93,virginica
5.04,3.27,2.44,0.8,setosa
5.71,2.29,1.9,0.3,versicolor
4.0,4.05,6.0,1.69,versicolor
4.28,2.88,2.55,2.4,setosa
4.91,4.46,1.62,0.43,virginica
5.92,4.21,3.31,1.26,virginica
5.01,4.13,3.17,0.34,virginica
7.51,2.89,5.63,0.18,setosa
5.3,3.89,1.67,1.69,setosa
7.7,4.47,1.46,2.18,versicolor
7.9,3.32,1.46,0.91,setosa
5.8,3.18,5.52,2.2,versicolor
4.91,2.04,3.25,0.38,setosa
5.17,3.75,1.75,0.67,virginica
7.11,4.15,3.97,2.26,virginica
5.09,2.62,3.69,1.32,setosa
5.52,2.79,1.99,1.56,setosa
5.91,3.25,4.02,0.19,virginica
6.3,2.18,2.7,0.41,virginica
7.98,2.22,2.19,0.23,setosa
4.93,3.05,3.55,2.27,virginica
5.41,2.65,2.46,0.42,setosa
5.05,3.02,2.11,2.14,setosa
5.44,3.14,5.4,0.94,setosa
4.4,4.44,1.78,2.02,setosa
5.44,4.36,2.4,0.98,setosa
7.55,2.35,2.93,0.74,setosa
5.19,4.21,2.37,0.32,versicolor
5.49,2.2,2.05,0.77,setosa
7.78,3.27,4.86,1.23,setosa
6.91,2.41,2.65,2.06,versicolor
6.07,2.91,1.56,1.19,virginica
7.11,3.86,3.7,2.43,setosa
4.49,3.06,1.63,1.4,setosa
5.86,4.02,2.79,0.16,versicolor
4.47,3.8,5.41,1.1,virginica
4.93,4.36,2.85,1.75,setosa
4.57,3.34,4.16,0.66,setosa
5.45,4.01,3.57,1.78,versicolor
5.53,2.81,1.69,1.31,virginica
7.79,2.86,4.25,0.16,virginica
5.06,3.0,5.28,1.96,virginica
5.89,3.03,1.47,1.44,virginica
7.25,2.26,4.77,0.3,versicolor
7.26,3.3,4.45,1.24,versicolor
7.0,2.24,5.33,0.79,setosa
5.15,4.22,1.52,2.21,setosa
5.98,2.15,2.53,0.78,versicolor
4.74,3.12,4.47,2.36,virginica
4.75,2.71,1.11,1.41,setosa
5.74,2.39,4.67,0.88,setosa
6.95,3.96,5.29,2.05,virginica
6.11,3.79,3.27,1.77,setosa
7.55,2.36,3.17,1.09,versicolor
7.32,3.58,2.39,1.61,versicolor
4.13,3.98,1.03,1.97,setosa
6.27,3.93,1.93,2.14,versicolor
6.44,2.23,5.9,2.06,setosa
7.85,3.71,5.34,0.5,setosa
4.09,3.79,2.33,2.09,versicolor
6.12,4.16,5.82,0.24,versicolor
4.82,3.27,2.84,0.58,versicolor
4.21,3.15,2.49,1.6,setosa
6.35,4.41,1.76,0.38,versicolor
7.09,3.99,5.51,1.55,virginica
7.1,3.4,5.93,0.84,setosa
4.12,2.83,2.64,1.13,setosa
5.63,4.11,4.52,0.86,virginica
4.18,3.14,2.68,0.27,virginica
4.99,2.23,1.52,1.3,setosa
4.77,3.14,2.96,2.41,virginica
4.86,4.18,3.76,1.57,versicolor
5.36,3.12,1.62,0.82,versicolor
5.11,2.04,5.09,2.39,setosa
7.85,3.53,3.49,1.03,setosa
5.41,4.49,2.17,1.77,versicolor
7.58,4.04,3.96,1.62,setosa
4.72,3.54,4.97,2.39,versicolor
7.05,4.29,2.64,2.3,virginica
4.25,4.03,4.51,0.46,virginica
5.85,3.25,3.14,0.31,virginica
4.02,3.48,5.82,2.04,setosa
7.24,3.83,4.85,2.27,virginica
