tenure,MonthlyCharges,TotalCharges,InternetService,Churn
8,97.09,353.15,None,No
30,93.59,4235.05,DSL,Yes
12,34.15,5488.38,Fiber,Yes
12,106.59,3195.0,DSL,No
17,64.13,2189.93,Fiber,Yes
61,68.64,809.64,DSL,No
64,64.84,4553.92,Fiber,No
60,76.78,5321.63,Fiber,No
2,82.12,691.49,None,Yes
19,69.82,4578.01,Fiber,Yes
54,106.68,200.66,None,No
29,82.77,5805.62,DSL,No
65,60.14,3728.84,DSL,Yes
9,61.67,3359.39,DSL,No
12,101.08,1846.1,DSL,No
52,54.82,5582.82,DSL,No
56,41.15,1668.84,None,No
16,25.94,4986.07,DSL,Yes
4,107.6,5912.14,Fiber,No
29,111.85,4722.04,None,No
59,32.01,3162.04,Fiber,Yes
66,53.45,489.84,None,No
12,37.54,2887.24,Fiber,Yes
26,31.59,2685.71,None,No
12,109.99,1296.5,DSL,Yes
35,25.69,2599.17,None,No
2,118.05,2210.77,None,Yes
17,29.65,1065.74,Fiber,No
2,106.35,2704.11,None,No
17,76.65,1650.52,None,Yes
34,56.79,3180.17,DSL,Yes
34,54.23,307.44,Fiber,Yes
45,95.74,5446.77,None,No
41,51.46,4916.55,Fiber,No
33,85.73,3360.23,None,Yes
24,71.73,5125.67,None,Yes
69,68.5,5778.13,Fiber,No
32,110.12,752.08,DSL,Yes
23,75.46,3821.91,None,Yes
65,102.69,5988.16,None,Yes
32,92.56,5928.55,None,Yes
16,23.86,3659.61,Fiber,Yes
52,97.31,855.32,DSL,Yes
13,41.69,3540.84,None,Yes
46,110.31,112.18,None,Yes
11,24.29,1273.58,None,No
71,53.31,5741.13,Fiber,Yes
22,29.97,2049.6,Fiber,Yes
68,67.56,3866.5,Fiber,No
65,102.0,1757.07,Fiber,No
2,49.82,5692.15,DSL,No
51,35.09,4398.5,Fiber,No
58,53.03,2044.94,Fiber,Yes
23,101.39,4771.39,None,Yes
16,34.04,738.18,Fiber,No
16,42.74,2414.68,DSL,No
29,26.89,1405.19,DSL,No
28,90.57,4133.99,None,Yes
58,59.52,704.43,DSL,No
59,51.08,2442.45,Fiber,No
14,91.86,1732.23,Fiber,Yes
19,53.6,3087.42,DSL,Yes
21,92.78,2164.4,DSL,No
56,101.52,4267.82,Fiber,Yes
45,41.77,245.0,None,No
45,117.38,3840.52,Fiber,No
16,36.24,1460.37,None,Yes
30,49.08,1685.38,None,No
5,37.98,4821.51,DSL,No
29,54.55,5737.85,None,No
66,68.01,1967.65,Fiber,Yes
50,72.22,4978.15,Fiber,Yes
