survived,pclass,sex,age,fare
0,2,female,31,231.42
1,3,male,74,216.27
1,3,male,8,16.93
0,3,female,22,67.14
1,2,female,9,114.3
1,1,female,44,30.63
1,1,female,47,90.38
1,1,male,1,186.32
1,1,female,52,171.73
1,3,male,39,157.48
1,3,female,75,179.08
0,1,male,27,55.21
0,1,male,79,88.72
1,1,male,33,170.68
0,2,male,71,220.41
0,3,female,45,138.2
0,1,female,60,74.26
0,1,female,58,12.41
0,2,female,51,179.03
1,1,female,46,6.93
0,3,male,5,96.31
1,2,female,58,134.98
1,2,male,18,230.92
0,2,female,36,26.93
0,1,male,67,104.46
1,1,female,21,10.96
1,1,male,46,88.94
1,2,female,58,157.45
1,2,female,37,73.37
0,3,male,63,56.39
1,2,male,5,33.35
0,1,male,78,146.4
1,1,female,31,175.34
0,2,female,36,169.63
1,3,female,74,237.47
1,2,male,56,5.66
0,2,male,27,163.56
1,2,female,23,152.1
1,1,male,77,149.24
0,1,male,52,240.88
0,1,female,47,9.13
1,2,male,62,175.64
0,3,male,61,204.35
1,2,male,48,129.9
1,2,female,1,86.82
1,1,male,11,198.76
1,1,female,76,28.82
1,2,male,14,113.3
0,3,female,72,132.39
1,1,male,7,175.02
0,3,female,46,27.27
1,3,female,31,60.8
1,2,male,16,105.52
1,2,male,42,157.71
1,2,female,39,222.31
0,3,male,54,156.61
1,1,female,44,37.7
0,1,male,8,245.24
0,2,female,66,218.59
1,1,male,42,128.17
1,3,male,67,230.98
0,3,male,79,137.64
1,1,male,32,231.21
0,3,female,51,208.32
1,3,female,47,242.23
0,3,male,34,230.35
0,2,female,13,13.83
0,2,male,67,47.82
0,1,female,73,100.34
0,1,female,11,238.27
1,1,male,28,78.51
1,3,female,57,44.31
0,3,male,66,222.14
0,2,male,65,114.37
0,2,male,70,227.43
1,1,male,35,44.26
1,1,male,4,166.97
0,3,female,61,112.86
1,2,female,38,23.74
0,2,male,44,175.63
0,3,male,71,65.61
1,1,male,21,14.71
0,2,male,7,19.69
1,2,female,29,19.96
1,2,female,7,227.39
1,2,male,67,186.27
1,2,male,70,225.03
1,3,female,74,169.78
1,3,male,55,134.59
0,3,female,78,79.59
1,1,female,22,249.5
1,2,female,32,93.74
0,3,female,36,120.31
0,2,female,9,97.67
1,2,female,26,244.98
0,2,female,22,47.79
0,2,female,46,85.36
1,1,female,17,171.69
1,3,female,26,20.49
0,3,female,38,153.78
1,1,male,2,122.02
0,2,male,6,74.58
0,2,female,71,63.41
1,1,female,13,131.06
0,1,female,75,95.14
0,1,female,55,116.85
0,3,male,79,87.68
1,2,male,63,242.77
1,3,female,73,37.69
0,2,male,72,28.72
1,3,male,46,89.13
0,1,female,6,149.8
0,3,male,48,166.5
0,1,female,60,102.33
0,2,male,43,249.82
0,2,female,68,91.21
1,2,male,11,181.74
0,1,male,58,161.21
1,1,female,4,204.2
0,1,male,79,244.18
1,1,male,70,223.0
1,1,male,59,192.32
1,1,male,5,176.07
1,2,male,18,87.2
1,1,female,70,41.18
0,3,male,64,20.35
1,3,female,25,64.27
1,2,male,4,110.91
1,2,male,70,132.89
1,2,female,41,194.41
0,3,female,37,239.89
1,2,female,59,33.74
1,2,female,50,31.22
0,1,male,56,149.48
0,2,male,25,187.62
1,3,female,34,212.8
0,2,male,19,234.28
0,2,female,79,245.94
0,1,female,8,102.95
0,1,female,54,98.18
1,2,female,47,41.21
1,2,male,34,172.81
0,3,male,30,165.91
0,2,female,13,216.21
1,3,male,47,28.83
0,3,male,33,126.96
1,2,female,35,147.37
1,3,female,26,64.18
1,3,female,47,46.41
1,1,male,53,215.6
0,2,male,65,19.34
0,2,male,77,120.3
0,2,female,74,33.38
1,3,female,19,116.98
0,2,male,5,245.09
1,2,female,8,108.81
1,2,male,4,215.0
1,3,male,49,33.74
0,1,male,77,71.46
1,2,female,38,103.93
0,1,female,49,102.95
0,2,male,52,169.49
1,2,female,50,89.46
0,3,male,72,179.87
1,1,female,50,161.6
1,3,male,30,102.79
0,1,male,4,110.78
0,3,female,75,155.56
1,1,male,66,22.16
0,3,male,21,206.49
1,1,male,43,165.09
0,1,male,29,182.95
1,1,male,27,136.55
0,1,female,53,32.07
1,2,female,49,104.23
0,3,female,67,104.32
1,1,female,10,83.66
0,1,female,3,12.34
0,2,female,69,185.63
0,3,female,11,31.9
1,2,female,13,153.55
0,1,male,38,177.29
1,1,male,40,160.52
0,1,male,33,239.99
1,1,male,34,30.31
0,1,female,27,217.46
0,2,female,51,12.15
0,1,female,21,136.05
0,3,female,29,104.04
0,3,male,73,133.43
1,3,female,19,94.45
0,1,male,26,51.69
0,1,male,25,9.69
1,3,female,40,131.95
0,1,female,29,211.48
0,3,female,25,96.44
0,3,male,19,59.6
1,1,female,68,24.73
0,2,female,45,25.9
0,2,female,46,59.24
